Taxon name,Taxonomy,Count,Proportion(%)
Lactobacillus murinus group,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus murinus group,17926,30.1227
Lactobacillus gasseri group,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus gasseri group,5269,8.854
Lactobacillus reuteri group,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus reuteri group,3785,6.3603
PAC000186_g PAC001065_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;PAC000186_g;PAC001065_s,3227,5.4226
Bacteroides acidifaciens,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides acidifaciens,2378,3.996
PAC000186_g PAC001064_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;PAC000186_g;PAC001064_s,1981,3.3289
PAC001063_g PAC001063_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;PAC001063_g;PAC001063_s,1190,1.9997
PAC002400_g PAC002400_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;PAC002400_g;PAC002400_s,1143,1.9207
Prevotella PAC002481_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;PAC002481_s,997,1.6753
PAC001068_g PAC001071_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;PAC001068_g;PAC001071_s,959,1.6115
PAC001127_g PAC002399_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;PAC001127_g;PAC002399_s,930,1.5628
PAC001066_g PAC001066_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;PAC001066_g;PAC001066_s,792,1.3309
KE159538_g PAC002428_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;KE159538_g;PAC002428_s,734,1.2334
KE159538_g PAC001120_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;KE159538_g;PAC001120_s,672,1.1292
PAC000661_g PAC001777_s group,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;PAC000661_g;PAC001777_s group,477,0.8015
Desulfovibrio PAC001079_s,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;PAC001079_s,469,0.7881
PAC001212_g PAC001809_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC001212_g;PAC001809_s,372,0.6251
PAC001062_g PAC001062_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;PAC001062_g;PAC001062_s,356,0.5982
Arthromitus AP012202_s group,Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Arthromitus;AP012202_s group,253,0.4251
Marvinbryantia PAC001753_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Marvinbryantia;PAC001753_s,252,0.4235
PAC000664_g PAC001515_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC000664_g;PAC001515_s,249,0.4184
Bacteroides vulgatus,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides vulgatus,248,0.4167
PAC000186_g PAC001806_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;PAC000186_g;PAC001806_s,241,0.405
Enterorhabdus caecimuris,Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Enterorhabdus;Enterorhabdus caecimuris,233,0.3915
PAC002482_g EF603735_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;AC160630_f;PAC002482_g;EF603735_s,198,0.3327
PAC001408_g PAC001408_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC001408_g;PAC001408_s,193,0.3243
PAC000661_g PAC000686_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;PAC000661_g;PAC000686_s,188,0.3159
Bacteroides caecimuris,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caecimuris,176,0.2957
KE159538_g PAC001770_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;KE159538_g;PAC001770_s,176,0.2957
PAC001091_g PAC001091_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC001091_g;PAC001091_s,171,0.2873
PAC000198_g PAC001075_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;PAC000198_g;PAC001075_s,167,0.2806
PAC000186_g EU474208_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;PAC000186_g;EU474208_s,164,0.2756
PAC001074_g PAC001074_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;PAC001074_g;PAC001074_s,160,0.2689
PAC000198_g PAC001139_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;PAC000198_g;PAC001139_s,159,0.2672
PAC001068_g PAC001068_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;PAC001068_g;PAC001068_s,154,0.2588
Bacteroides HM124113_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;HM124113_s,151,0.2537
KE159571_g PAC002348_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;KE159571_g;PAC002348_s,149,0.2504
PAC001112_g PAC002441_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;PAC001112_g;PAC002441_s,149,0.2504
PAC000661_g PAC002496_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;PAC000661_g;PAC002496_s,147,0.247
PAC001524_g PAC001524_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC001524_g;PAC001524_s,146,0.2453
Muribaculum PAC001077_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;PAC001077_s,137,0.2302
Bifidobacterium pseudolongum group,Bacteria;Actinobacteria;Actinobacteria_c;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium pseudolongum group,135,0.2269
Oscillibacter PAC001638_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter;PAC001638_s,135,0.2269
PAC001362_g PAC001362_s,Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;PAC001362_g;PAC001362_s,132,0.2218
Anaerotignum PAC001540_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerotignum;PAC001540_s,132,0.2218
Lactobacillus intestinalis,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus intestinalis,130,0.2185
Parasutterella excrementihominis group,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Parasutterella;Parasutterella excrementihominis group,130,0.2185
PAC000664_g PAC001083_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC000664_g;PAC001083_s,118,0.1983
KE159571_g KE159641_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;KE159571_g;KE159641_s,100,0.168
Muribaculum DQ815542_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;DQ815542_s,92,0.1546
KE159605_g KB822463_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;KE159605_g;KB822463_s,92,0.1546
PAC001118_g PAC002344_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC001118_g;PAC002344_s,91,0.1529
PAC000197_g EF406725_s,Bacteria;Tenericutes;Mollicutes;PAC001057_o;PAC000197_f;PAC000197_g;EF406725_s,90,0.1512
PAC001681_g PAC001681_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC001681_g;PAC001681_s,89,0.1496
KE159600_g KE159600_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;KE159600_g;KE159600_s,88,0.1479
Ruminococcus PAC001122_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;PAC001122_s,87,0.1462
Enterorhabdus PAC002410_s,Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Enterorhabdus;PAC002410_s,86,0.1445
PAC001375_g PAC001375_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC001375_g;PAC001375_s,82,0.1378
PAC000683_g PAC001005_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;PAC000683_g;PAC001005_s,77,0.1294
KE159538_g EF097676_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;KE159538_g;EF097676_s,74,0.1243
PAC001068_g PAC001736_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;PAC001068_g;PAC001736_s,74,0.1243
Oscillibacter PAC001188_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter;PAC001188_s,73,0.1227
Alistipes PAC001061_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;PAC001061_s,70,0.1176
PAC001138_g PAC001518_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC001138_g;PAC001518_s,70,0.1176
PAC001092_g PAC001092_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC001092_g;PAC001092_s,67,0.1126
Oscillibacter PAC001501_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter;PAC001501_s,67,0.1126
PAC000661_g AB185622_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;PAC000661_g;AB185622_s,66,0.1109
Clostridium_g21 PAC001294_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Clostridium_g21;PAC001294_s,66,0.1109
Acutalibacter muris,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Acutalibacter;Acutalibacter muris,65,0.1092
AB185775_g EU622732_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;AB185775_g;EU622732_s,65,0.1092
Pseudoflavonifractor PAC001379_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Pseudoflavonifractor;PAC001379_s,63,0.1059
PAC001043_g PAC001552_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC001043_g;PAC001552_s,63,0.1059
Clostridium_g21 PAC002512_s group,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Clostridium_g21;PAC002512_s group,63,0.1059
Mucispirillum schaedleri,Bacteria;Deferribacteres;Deferribacteres_c;Deferribacterales;Deferribacteraceae;Mucispirillum;Mucispirillum schaedleri,62,0.1042
PAC000186_g PAC001128_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;PAC000186_g;PAC001128_s,62,0.1042
PAC001544_g PAC001544_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC001544_g;PAC001544_s,61,0.1025
PAC000661_g EU842956_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;PAC000661_g;EU842956_s,58,0.0975
Pseudoflavonifractor PAC001550_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Pseudoflavonifractor;PAC001550_s,58,0.0975
Agathobaculum PAC001688_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Agathobaculum;PAC001688_s,57,0.0958
KE159797_g PAC001222_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;KE159797_g;PAC001222_s,56,0.0941
Emergencia PAC001235_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Mogibacterium_f;Emergencia;PAC001235_s,56,0.0941
PAC001679_g PAC001679_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC001679_g;PAC001679_s,56,0.0941
Acetatifactor PAC002332_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Acetatifactor;PAC002332_s,56,0.0941
Romboutsia timonensis,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Romboutsia;Romboutsia timonensis,56,0.0941
