Taxon name,Taxonomy,Count,Proportion(%)
Lactobacillus murinus group,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus murinus group,13710,22.5932
PAC000186_g PAC001065_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;PAC000186_g;PAC001065_s,5259,8.6665
Bacteroides acidifaciens,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides acidifaciens,5188,8.5495
PAC000186_g PAC001064_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;PAC000186_g;PAC001064_s,3488,5.748
Lactobacillus gasseri group,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus gasseri group,2157,3.5546
PAC001068_g PAC001071_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;PAC001068_g;PAC001071_s,2136,3.52
Prevotella PAC002481_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;PAC002481_s,1826,3.0091
Lactobacillus reuteri group,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus reuteri group,1370,2.2577
PAC001127_g PAC002399_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;PAC001127_g;PAC002399_s,1351,2.2264
PAC002482_g EF603735_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;AC160630_f;PAC002482_g;EF603735_s,1078,1.7765
KE159538_g PAC001770_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;KE159538_g;PAC001770_s,873,1.4386
PAC001074_g PAC001074_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;PAC001074_g;PAC001074_s,771,1.2706
Arthromitus AP012202_s group,Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Arthromitus;AP012202_s group,740,1.2195
Bacteroides caecimuris,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caecimuris,726,1.1964
PAC001091_g PAC001091_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC001091_g;PAC001091_s,724,1.1931
PAC001066_g PAC001066_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;PAC001066_g;PAC001066_s,700,1.1536
PAC002400_g PAC002400_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;PAC002400_g;PAC002400_s,636,1.0481
PAC001063_g PAC001063_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;PAC001063_g;PAC001063_s,568,0.936
Marvinbryantia PAC001753_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Marvinbryantia;PAC001753_s,551,0.908
Lactobacillus intestinalis,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus intestinalis,517,0.852
PAC001588_g PAC001588_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC001588_g;PAC001588_s,478,0.7877
PAC001062_g PAC001062_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;PAC001062_g;PAC001062_s,441,0.7267
PAC001112_g PAC002441_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;PAC001112_g;PAC002441_s,431,0.7103
PAC000661_g PAC002104_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;PAC000661_g;PAC002104_s,371,0.6114
PAC000186_g EU474208_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;PAC000186_g;EU474208_s,336,0.5537
PAC000186_g PAC001806_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;PAC000186_g;PAC001806_s,321,0.529
Enterorhabdus caecimuris,Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Enterorhabdus;Enterorhabdus caecimuris,287,0.473
PAC000198_g PAC001139_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;PAC000198_g;PAC001139_s,285,0.4697
PAC000664_g PAC001515_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC000664_g;PAC001515_s,282,0.4647
