Taxon name,Taxonomy,Count,Proportion(%)
Lactobacillus reuteri group,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus reuteri group,4678,8.0565
Lactobacillus gasseri group,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus gasseri group,4678,7.8016
PAC001127_g PAC002399_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;PAC001127_g;PAC002399_s,3111,5.3578
Desulfovibrio PAC001079_s,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;PAC001079_s,2585,4.4519
PAC000186_g PAC001065_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;PAC000186_g;PAC001065_s,2434,4.1919
Bacteroides acidifaciens,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides acidifaciens,2361,4.0661
Lactobacillus murinus group,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus murinus group,1951,3.36
Prevotella PAC002481_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;PAC002481_s,1827,3.1465
PAC002400_g PAC002400_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;PAC002400_g;PAC002400_s,1799,3.0983
KE159538_g PAC002428_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;KE159538_g;PAC002428_s,1657,2.8537
KE159538_g PAC001120_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;KE159538_g;PAC001120_s,1559,2.6849
PAC001063_g PAC001063_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;PAC001063_g;PAC001063_s,1175,2.0236
Lactobacillus intestinalis,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus intestinalis,1091,1.8789
Clostridium_g24 PAC001374_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Clostridium_g24;PAC001374_s,958,1.6499
KE159571_g KE159641_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;KE159571_g;KE159641_s,806,1.3881
