Taxon name,Taxonomy,Count,Proportion(%)
KE159571_g KE159641_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;KE159571_g;KE159641_s,5289,6.9006
Desulfovibrio PAC001079_s,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;PAC001079_s,4903,6.3969
Lactobacillus gasseri group,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus gasseri group,3838,5.0074
Lactobacillus reuteri group,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus reuteri group,3477,4.5364
Clostridium_g24 PAC001374_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Clostridium_g24;PAC001374_s,3210,4.1881
Lactobacillus murinus group,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus murinus group,3054,3.9846
PAC001127_g PAC002399_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;PAC001127_g;PAC002399_s,3053,3.9832
PAC000186_g PAC001065_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;PAC000186_g;PAC001065_s,2872,3.7471
Bacteroides acidifaciens,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides acidifaciens,2673,3.4875
PAC002400_g PAC002400_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;PAC002400_g;PAC002400_s,2051,2.6759
PAC000664_g PAC001104_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC000664_g;PAC001104_s,1681,2.1932
KE159605_g KB822463_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;KE159605_g;KB822463_s,1374,1.7927
PAC001375_g PAC001375_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC001375_g;PAC001375_s,1293,1.687
Eubacterium_g17 PAC001119_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Eubacterium_g17;PAC001119_s,1291,1.6844
KE159538_g PAC001696_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;KE159538_g;PAC001696_s,1209,1.5774
PAC001068_g PAC001071_s,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;PAC001068_g;PAC001071_s,1110,1.4482
PAC001043_g PAC001552_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC001043_g;PAC001552_s,1066,1.3908
Bacteroides vulgatus,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides vulgatus,1013,1.3217
PAC000664_g PAC002486_s,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;PAC000664_g;PAC002486_s,979,1.2773
